Unnamed: 0,CODE,NAME,SECT._x,STOCK NO.,CAPT.,SECT._y
166,003780,진양산업,플라스틱제품 제조업,"13,000,000","6,500,000,000",화학
167,003830,대한화섬,화학섬유 제조업,"1,328,000","6,640,000,000",화학
168,003850,보령제약,의약품 제조업,"47,620,000","23,810,000,000",제약
169,003920,남양유업,낙농제품 및 식용빙과류 제조업,"720,000","4,433,310,000",식품
170,003960,사조대림,수산물 가공 및 저장 처리업,"9,164,467","45,822,335,000",식품
171,004000,롯데정밀화학,기초 화학물질 제조업,"25,800,000","129,000,000,000",화학
172,004020,현대제철,1차 철강 제조업,"133,445,785","667,228,925,000",철강
173,004060,SG세계물산,상품 종합 도매업,"202,424,960","101,212,480,000","섬유,의류,신발,호화품"
174,004080,신흥,기계장비 및 관련 물품 도매업,"9,600,000","6,733,070,000",건강관리장비와용품
175,004090,한국석유공업,기타 비금속 광물제품 제조업,"655,200","3,276,000,000",화학
176,004100,태양금속공업,자동차 신품 부품 제조업,"36,700,000","20,000,000,000",자동차부품
177,004140,동방,기타 운송관련 서비스업,"34,636,700","34,636,700,000",항공화물운송과물류
179,004170,신세계,종합 소매업,"9,845,181","49,225,905,000",백화점과일반상점
180,004250,엔피씨,플라스틱제품 제조업,"36,720,000","21,000,000,000",화학
181,004270,남성,기타 전문 도매업,"36,212,160","18,106,080,000",전자장비와기기
182,004310,현대약품,의약품 제조업,"32,000,000","16,000,000,000",제약
183,004360,세방,도로 화물 운송업,"19,308,690","11,498,970,000",항공화물운송과물류
184,004370,농심,기타 식품 제조업,"6,082,642","30,413,210,000",식품
185,004380,삼익THK,일반 목적용 기계 제조업,"21,000,000","10,500,000,000",기계
186,004410,서울식품공업,기타 식품 제조업,"337,410,000","33,963,450,000",식품
187,004430,송원산업,기타 화학제품 제조업,"24,000,000","12,000,000,000",화학
188,004440,대림씨엔에스,"시멘트, 석회, 플라스터 및 그 제품 제조업","12,731,947","12,731,947,000",건축자재
189,004450,삼화왕관,기타 금속 가공제품 제조업,"2,154,379","10,771,895,000",포장재
190,004490,세방전지,일차전지 및 축전지 제조업,"14,000,000","7,000,000,000",자동차부품
191,004540,깨끗한나라,"펄프, 종이 및 판지 제조업","37,240,693","37,606,853,000",종이와목재
192,004560,현대비앤지스틸,1차 철강 제조업,"15,078,811","75,943,315,000",비철금속
193,004690,삼천리,연료용 가스 제조 및 배관공급업,"4,055,025","20,275,125,000",가스유틸리티
194,004700,조광피혁,"가죽, 가방 및 유사제품 제조업","6,649,138","34,245,690,000","섬유,의류,신발,호화품"
195,004710,한솔테크닉스,전자부품 제조업,"32,109,878","160,549,390,000",디스플레이장비및부품
196,004720,우리들제약,의약품 제조업,"13,706,224","6,853,112,000",제약
197,004770,써니전자,반도체 제조업,"34,845,011","18,372,505,500",전자장비와기기
199,004830,덕성,플라스틱제품 제조업,"15,680,000","8,536,000,000","섬유,의류,신발,호화품"
201,004870,티웨이홀딩스,"시멘트, 석회, 플라스터 및 그 제품 제조업","76,680,855","38,340,427,500",항공사
202,004890,동일산업,1차 철강 제조업,"2,425,215","12,126,075,000",철강
203,004910,조광페인트,기타 화학제품 제조업,"12,800,000","6,400,000,000",건축자재
204,004920,씨아이테크,그외 기타 제품 제조업,"24,070,772","12,035,386,000",컴퓨터와주변기기
205,004960,한신공영,건물 건설업,"11,570,702","57,853,510,000",건설
