Unnamed: 0,CODE,NAME,SECT.,STOCK NO.,CAPT.,2017.12,2018.12,2019.12,2020.12(E),2019.06,2019.09,2019.12,2020.03,2020.06,2020.09(E)
77,001620,케이비아이동국실업,자동차 신품 부품 제조업,"66,042,072","33,021,036,000",-367,-121,-140,N/A,-5.0,-76.0,-51.0,-44.0,-141.0,N/A
78,001630,종근당홀딩스,의약품 제조업,"5,009,861","12,524,652,500",435.0,537.0,862.0,1323.0,274.0,262.0,123.0,324.0,265.0,332.0
79,001680,대상,기타 식품 제조업,"34,648,025","36,018,248,000",967.0,1202.0,1298.0,1850.0,337.0,423.0,156.0,498.0,610.0,549.0
81,001740,SK네트웍스,기타 전문 도매업,"248,187,647","620,753,237,500",1428.0,1335.0,1094.0,1850.0,351.0,519.0,833.0,-609.0,409.0,426.0
83,001770,신화실업,1차 철강 제조업,"1,214,878","6,074,390,000",36.0,32.0,10.0,N/A,4.0,-,3.0,3.0,-,N/A
84,001780,알루코,1차 비철금속 제조업,"74,714,941","37,357,470,500",208.0,121.0,122,N/A,41.0,40.0,20.0,21.0,45.0,N/A
85,001790,대한제당,"곡물가공품, 전분 및 전분제품 제조업","8,969,658","24,044,835,000",165.0,327.0,295.0,N/A,81.0,108.0,77.0,73.0,64.0,N/A
87,001820,삼화콘덴서공업,전자부품 제조업,"10,395,000","10,395,000,000",220.0,813.0,373.0,298.0,108.0,66.0,13.0,75.0,69.0,86.0
88,001880,대림건설,건물 건설업,"22,053,284","110,266,420,000",838,909.0,1430.0,N/A,457.0,334.0,281.0,699.0,463.0,N/A
89,001940,KISCO홀딩스,1차 철강 제조업,"18,476,380","18,476,380,000",974.0,657.0,576.0,N/A,212.0,127.0,178.0,59.0,173.0,N/A
92,002070,비비안,봉제의복 제조업,"68,679,450","6,867,945,000",-15.0,-45.0,-5,N/A,7.0,3.0,-13.0,-2.0,-29.0,N/A
93,002100,경농,"비료, 농약 및 살균, 살충제 제조업","21,691,750","10,845,875,000",84.0,148.0,87.0,N/A,39.0,-85.0,-89.0,258.0,34.0,N/A
94,002140,고려산업,"곡물가공품, 전분 및 전분제품 제조업","24,939,425","24,939,425,000",59.0,58.0,58.0,N/A,-7.0,17.0,21.0,26.0,9.0,N/A
95,002150,도화엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업","33,720,000","16,860,000,000",165.0,173.0,271.0,N/A,109.0,17.0,116.0,67.0,40.0,N/A
96,002170,삼양통상,"가죽, 가방 및 유사제품 제조업","3,000,000","15,000,000,000",302.0,321.0,494.0,N/A,106.0,143.0,160.0,94.0,156.0,N/A
97,002200,한국수출포장공업,"골판지, 종이 상자 및 종이용기 제조업","4,000,000","20,000,000,000",-69.0,231.0,193.0,N/A,57.0,49.0,53.0,46.0,40.0,N/A
98,002210,동성제약,의약품 제조업,"26,100,970","26,100,970,000",10,-18,-75,N/A,-8.0,-12.0,-15.0,-40.0,-13.0,N/A
99,002220,한일철강,1차 철강 제조업,"22,841,537","11,420,768,500",45.0,-21,-73,N/A,-27.0,-8.0,-26.0,-19.0,-14.0,N/A
100,002240,고려제강,1차 철강 제조업,"20,000,000","20,000,000,000",388.0,380.0,317.0,N/A,166.0,50.0,-7.0,25.0,-185.0,N/A
101,002270,롯데푸드,낙농제품 및 식용빙과류 제조업,"1,131,870","5,659,350,000",662.0,676.0,495.0,527.0,186.0,212.0,12.0,99.0,140.0,N/A
102,002310,아세아제지,"골판지, 종이 상자 및 종이용기 제조업","8,956,502","44,782,510,000",54.0,983.0,711.0,N/A,210.0,202.0,136.0,179.0,156.0,N/A
103,002320,한진,도로 화물 운송업,"11,974,656","59,873,280,000",216.0,421.0,907.0,1111.0,219.0,257.0,246.0,254.0,289.0,293.0
104,002350,넥센타이어,고무제품 제조업,"97,667,877","54,083,938,500",1854.0,1824.0,2074.0,642.0,485.0,629.0,558.0,402.0,254.0,74.0
105,002360,SH에너지화학,기초 화학물질 제조업,"111,133,730","55,566,865,000",142.0,21.0,-31,20,-14.0,-1.0,-16.0,-29.0,-36.0,12.0
106,002380,케이씨씨,기타 화학제품 제조업,"8,886,471","48,084,660,000",3298.0,2009.0,1332.0,N/A,228.0,531.0,499.0,74.0,206.0,N/A
107,002390,한독,의약품 제조업,"13,763,533","6,881,766,500",-19.0,221.0,275.0,N/A,59.0,71.0,76.0,70.0,72.0,N/A
108,002410,범양건영,건물 건설업,"24,831,982","24,831,982,000",26,68,115,N/A,25.0,50.0,17.0,22.0,19.0,N/A
109,002420,세기상사,"영화, 비디오물, 방송프로그램 제작 및 배급업","407,592","2,037,960,000",-4,-4,-5.0,N/A,-,-2.0,-,-2.0,-2.0,N/A
110,002450,삼익악기,악기 제조업,"90,530,915","45,265,457,500",219.0,237.0,277.0,N/A,59.0,57.0,60.0,104.0,13.0,N/A
