Unnamed: 0,CODE,NAME,SECT.,STOCK NO.,CAPT.,CUR PRICE,PREV PRICE,FR,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
93,002100,경농,"비료, 농약 및 살균, 살충제 제조업","21,691,750","10,845,875,000",14400.0,14650.0,N/A,40.34,357.0,N/A,N/A,1.28,11223.0,1.53
94,002140,고려산업,"곡물가공품, 전분 및 전분제품 제조업","24,939,425","24,939,425,000",4210.0,4035.0,N/A,19.49,216.0,N/A,N/A,1.09,3861.0,0.71
95,002150,도화엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업","33,720,000","16,860,000,000",7450.0,7320.0,N/A,15.05,495.0,N/A,N/A,0.98,7601.0,3.36
96,002170,삼양통상,"가죽, 가방 및 유사제품 제조업","3,000,000","15,000,000,000",61900.0,61700.0,N/A,4.2,14731.0,N/A,N/A,0.52,120155.0,1.62
97,002200,한국수출포장공업,"골판지, 종이 상자 및 종이용기 제조업","4,000,000","20,000,000,000",17250.0,17150.0,N/A,4.44,3888.0,N/A,N/A,0.27,62958.0,3.48
98,002210,동성제약,의약품 제조업,"26,100,970","26,100,970,000",12300.0,12650.0,N/A,N/A,-461.0,N/A,N/A,4.5,2736.0,N/A
99,002220,한일철강,1차 철강 제조업,"22,841,537","11,420,768,500",1675.0,1675.0,N/A,N/A,-419.0,N/A,N/A,0.24,6953.0,N/A
100,002240,고려제강,1차 철강 제조업,"20,000,000","20,000,000,000",14500.0,14450.0,N/A,N/A,-1051.0,N/A,N/A,0.21,68271.0,2.41
101,002270,롯데푸드,낙농제품 및 식용빙과류 제조업,"1,131,870","5,659,350,000",307500.0,304000.0,N/A,4.41,69738.0,N/A,N/A,0.37,830625.0,3.9
102,002310,아세아제지,"골판지, 종이 상자 및 종이용기 제조업","8,956,502","44,782,510,000",25250.0,25100.0,N/A,4.02,6287.0,N/A,N/A,0.37,67846.0,2.38
103,002320,한진,도로 화물 운송업,"11,974,656","59,873,280,000",43350.0,43150.0,N/A,42.25,1026.0,41.0,1055.0,0.58,75092.0,1.15
104,002350,넥센타이어,고무제품 제조업,"97,667,877","54,083,938,500",5180.0,5110.0,N/A,5.05,1025.0,13.0,396.0,0.34,15295.0,2.03
105,002360,SH에너지화학,기초 화학물질 제조업,"111,133,730","55,566,865,000",736.0,744.0,N/A,N/A,-70.0,N/A,N/A,0.89,831.0,N/A
106,002380,케이씨씨,기타 화학제품 제조업,"8,886,471","48,084,660,000",139000.0,138000.0,N/A,N/A,-49619.0,N/A,N/A,0.27,510847.0,3.96
107,002390,한독,의약품 제조업,"13,763,533","6,881,766,500",35100.0,34000.0,N/A,14.21,2470.0,N/A,N/A,1.39,25169.0,0.78
108,002410,범양건영,건물 건설업,"24,831,982","24,831,982,000",7000.0,6920.0,N/A,9.52,735.0,N/A,N/A,2.39,2925.0,N/A
109,002420,세기상사,"영화, 비디오물, 방송프로그램 제작 및 배급업","407,592","2,037,960,000",61600.0,61600.0,N/A,N/A,-2760.0,N/A,N/A,1.16,53268.0,N/A
110,002450,삼익악기,악기 제조업,"90,530,915","45,265,457,500",1330.0,1320.0,N/A,39.12,34.0,N/A,N/A,0.49,2729.0,3.76
111,002460,화성산업,건물 건설업,"12,450,800","62,254,000,000",11300.0,11250.0,N/A,5.76,1961.0,N/A,N/A,0.36,31566.0,4.43
112,002600,조흥,기타 식품 제조업,"600,000","3,000,000,000",151500.0,152500.0,N/A,12.72,11912.0,N/A,N/A,0.71,213629.0,3.96
114,002630,오리엔트바이오,의약품 제조업,"101,798,996","50,899,498,000",1675.0,1890.0,N/A,N/A,-102.0,N/A,N/A,3.27,513.0,N/A
115,002690,동일제강,1차 철강 제조업,"15,000,000","7,500,000,000",1940.0,1980.0,N/A,40.42,48.0,N/A,N/A,0.23,8611.0,0.51
116,002700,신일전자,기계장비 및 관련 물품 도매업,"71,047,521","35,523,760,500",1680.0,1690.0,N/A,15.14,111.0,N/A,N/A,1.63,1031.0,1.19
117,002710,TCC스틸,1차 철강 제조업,"23,000,000","23,000,000,000",3200.0,3245.0,N/A,N/A,-2.0,N/A,N/A,0.62,5176.0,0.91
118,002720,국제약품,의약품 제조업,"18,400,520","18,400,520,000",12150.0,14600.0,N/A,40.64,299.0,N/A,N/A,2.85,4269.0,N/A
119,002760,보락,기타 화학제품 제조업,"59,900,000","11,980,000,000",1915.0,1855.0,N/A,239.38,8.0,N/A,N/A,2.62,731.0,0.26
120,002780,진흥기업,토목 건설업,"145,471,745","73,311,885,500",2055.0,2060.0,N/A,36.7,56.0,N/A,N/A,2.93,702.0,N/A
121,002790,아모레퍼시픽그룹,기타 화학제품 제조업,"82,458,180","47,997,075,000",53500.0,53700.0,N/A,48.24,1109.0,63.0,848.0,1.46,36586.0,0.56
