CODE,NAME,SECT.,STOCK NO.,CAPT.,CUR PRICE,PREV PRICE,FR,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
101680,한국정밀기계,특수 목적용 기계 제조업,"8,404,000","4,202,000,000",,,,N/A,-355,N/A,N/A,0.25,6432,N/A
101730,조이맥스,소프트웨어 개발 및 공급업,"8,505,234","4,252,617,000",,,,N/A,-1304,N/A,N/A,7.48,864,N/A
101930,인화정공,선박 및 보트 건조업,"9,331,705","4,665,852,500",,,,N/A,-743,N/A,N/A,0.3,14077,N/A
102120,어보브반도체,반도체 제조업,"17,459,653","8,729,826,500",,,,12.25,939,N/A,N/A,2.06,5577,1.74
102210,해덕파워웨이,선박 및 보트 건조업,"73,696,405","7,369,640,500",,,,N/A,-183,N/A,N/A,0.7,1573,N/A
102710,이엔에프테크놀로지,기타 화학제품 제조업,"14,257,836","7,128,918,000",,,,14.41,3466,N/A,N/A,2.55,19593,0.3
102940,코오롱생명과학,기초 의약물질 및 생물학적 제제 제조업,"11,412,356","5,706,178,000",,,,N/A,-5120,N/A,N/A,3.77,8602,N/A
103230,에스앤더블류,일반 목적용 기계 제조업,"7,200,000","3,600,000,000",,,,N/A,-505,N/A,N/A,0.38,5200,N/A
103840,우양,"과실, 채소 가공 및 저장 처리업","12,858,000","1,285,800,000",,,,17.33,283,N/A,N/A,1.99,2459,N/A
104040,대성파인텍,자동차 신품 부품 제조업,"31,301,281","3,130,128,100",,,,21.61,62,N/A,N/A,0.76,1767,N/A
104200,NHN벅스,소프트웨어 개발 및 공급업,"14,827,550","7,413,775,000",,,,19.53,245,N/A,N/A,0.91,5249,N/A
104460,디와이피엔에프,일반 목적용 기계 제조업,"10,713,625","5,356,812,500",,,,7.5,1874,N/A,N/A,1.89,7429,2.49
104480,티케이케미칼,화학섬유 제조업,"90,895,434","45,447,717,000",,,,N/A,-27,N/A,N/A,0.6,3301,N/A
104540,코렌텍,의료용 기기 제조업,"10,587,341","5,293,670,500",,,,26.33,305,N/A,N/A,2.93,2745,N/A
104620,노랑풍선,여행사 및 기타 여행보조 서비스업,"4,765,650","2,382,825,000",,,,N/A,-225,N/A,N/A,1.1,11881,1.53
104830,원익머트리얼즈,기초 화학물질 제조업,"12,608,000","6,304,000,000",,,,11.99,2461,13,2344,1.18,25007,0.51
105330,케이엔더블유,전자부품 제조업,"5,661,347","2,830,673,500",,,,N/A,-993,N/A,N/A,1.45,4888,N/A
105550,트루윈,전자부품 제조업,"12,046,059","6,023,029,500",,,,N/A,-246,N/A,N/A,1.64,2070,N/A
105740,디케이락,일반 목적용 기계 제조업,"8,449,912","4,224,956,000",,,,8.93,1027,N/A,N/A,0.83,11044,2.18
106080,하이소닉,전자부품 제조업,"14,765,297","14,765,297,000",,,,N/A,-1314,N/A,N/A,4.91,678,N/A
106190,하이텍팜,기타 전문 도매업,"7,088,782","3,544,391,000",,,,N/A,-669,N/A,N/A,0.83,13851,0.44
106240,파인테크닉스,통신 및 방송 장비 제조업,"42,843,380","21,421,690,000",,,,143.18,33,N/A,N/A,3.46,1366,N/A
106520,디지탈옵틱,사진장비 및 광학기기 제조업,"92,686,503","46,343,251,500",,,,N/A,-103,N/A,N/A,1.11,587,N/A
108230,톱텍,특수 목적용 기계 제조업,"38,023,245","19,147,956,000",,,,122.6,146,N/A,N/A,1.79,10028,0.56
108320,실리콘웍스,반도체 제조업,"16,264,300","8,132,150,000",,,,15.77,2981,12,3980,1.62,29000,1.77
108380,대양전기공업,선박 및 보트 건조업,"9,567,333","4,783,666,500",,,,8.65,1341,N/A,N/A,0.52,22338,1.72
108490,로보티즈,특수 목적용 기계 제조업,"11,251,000","5,625,500,000",,,,47.63,295,N/A,N/A,2.51,5593,N/A
108860,셀바스AI,소프트웨어 개발 및 공급업,"22,055,945","11,027,972,500",,,,33.45,87,N/A,N/A,1.78,1631,N/A
109080,옵티시스,통신 및 방송 장비 제조업,"5,636,000","2,818,000,000",,,,16.55,498,N/A,N/A,1.04,7893,0.61
109610,에스와이,"구조용 금속제품, 탱크 및 증기발생기 제조업","25,031,482","12,515,741,000",,,,N/A,-636,N/A,N/A,0.86,4309,N/A
109740,디에스케이,특수 목적용 기계 제조업,"20,354,763","10,177,381,500",,,,26.13,284,N/A,N/A,1.32,5604,N/A
109820,진매트릭스,자연과학 및 공학 연구개발업,"19,875,036","9,937,518,000",,,,N/A,-14,N/A,N/A,19.56,854,N/A
109860,동일금속,금속 주조업,"7,000,000","3,500,000,000",,,,6.69,1696,N/A,N/A,0.59,19120,2.47
109960,에이프로젠 H&G,기타 전문 도매업,"178,695,217","89,347,608,500",,,,61.93,15,N/A,N/A,0.78,1191,N/A
110020,전진바이오팜,기타 화학제품 제조업,"4,795,928","2,397,964,000",,,,N/A,-280,N/A,N/A,14.8,512,N/A
110790,크리스에프앤씨,봉제의복 제조업,"11,715,480","11,715,480,000",,,,12.92,1777,N/A,N/A,1.22,18795,1.74
110990,디아이티,특수 목적용 기계 제조업,"18,900,000","1,890,000,000",,,,16.23,424,N/A,N/A,0.74,9281,2.91
111710,남화산업,스포츠 서비스업,"20,588,000","4,117,600,000",,,,87.59,145,N/A,N/A,1.95,6517,0.39
111820,지와이커머스,기타 정보 서비스업,"24,469,534","12,234,767,000",,,,0.35,6949,N/A,N/A,4.8,514,N/A
111870,삼본전자,영상 및 음향기기 제조업,"70,555,601","35,277,800,500",,,,N/A,-472,N/A,N/A,0.88,1675,N/A
112040,위메이드,소프트웨어 개발 및 공급업,"16,800,000","8,680,000,000",,,,426.09,92,36,1092,2.68,14605,1.53
113810,디젠스,자동차 신품 부품 제조업,"32,628,051","16,314,025,500",,,,N/A,-76,N/A,N/A,0.71,599,N/A
114120,크루셜텍,전자부품 제조업,"10,961,315","10,961,315,000",,,,N/A,-3647,N/A,N/A,0.39,3819,N/A
114190,강원,"구조용 금속제품, 탱크 및 증기발생기 제조업","18,154,911","9,077,455,500",,,,N/A,-2024,N/A,N/A,1.6,1566,N/A
114450,KPX생명과학,기초 의약물질 및 생물학적 제제 제조업,"15,000,000","7,500,000,000",,,,790,9,N/A,N/A,1.79,3976,N/A
114570,지스마트글로벌,반도체 제조업,"11,339,394","5,669,697,000",,,,N/A,-7602,N/A,N/A,0.15,4193,N/A
114630,우노앤컴퍼니,화학섬유 제조업,"13,573,965","6,886,982,500",,,,N/A,-78,N/A,N/A,0.61,5188,3.16
114810,아이원스,특수 목적용 기계 제조업,"13,415,919","6,707,959,500",,,,N/A,-239,N/A,N/A,0.85,9630,N/A
115160,휴맥스,영상 및 음향기기 제조업,"23,911,798","11,955,899,000",,,,91.56,48,N/A,N/A,0.27,16281,N/A
115180,큐리언트,자연과학 및 공학 연구개발업,"8,625,566","4,312,783,000",,,,N/A,-2195,N/A,N/A,23.04,1380,N/A
115310,인포바인,전기 통신업,"3,192,883","1,596,441,500",,,,6.63,2759,N/A,N/A,0.47,39166,4.92
115440,우리넷,통신 및 방송 장비 제조업,"9,136,944","4,568,472,000",,,,80.15,131,N/A,N/A,1.38,7603,0.48
115450,지트리비앤티,기타 전문 도매업,"25,884,137","12,942,068,500",,,,N/A,-618,N/A,N/A,9.99,2769,N/A
115480,씨유메디칼,의료용 기기 제조업,"23,180,660","11,590,330,000",,,,N/A,-242,N/A,N/A,1.11,2708,N/A
115500,케이씨에스,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","12,000,000","6,000,000,000",,,,32.36,142,N/A,N/A,2.97,1548,4.79
115530,씨엔플러스,전자부품 제조업,"60,094,725","6,009,472,500",,,,N/A,-13,N/A,N/A,3.75,224,N/A
115570,스타플렉스,플라스틱제품 제조업,"7,690,607","3,845,303,500",,,,N/A,-1398,N/A,N/A,0.51,10119,1.55
115610,이미지스,반도체 제조업,"7,669,128","3,834,564,000",,,,N/A,-1064,N/A,N/A,2.12,1464,N/A
115960,연우,플라스틱제품 제조업,"12,398,000","6,199,000,000",,,,12.38,1361,14,1191,0.99,17056,0.95
117670,알파홀딩스,반도체 제조업,"19,067,579","9,533,789,500",,,,N/A,-877,N/A,N/A,1.27,3770,N/A
117730,티로보틱스,특수 목적용 기계 제조업,"5,579,429","2,789,714,500",,,,N/A,-868,N/A,N/A,2.41,5372,N/A
