,NAME,CODE,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
0,S&T모티브,064960,49500.0,8.5,5823.0,10.0,4822.0,0.92,53564.0,2.83
0,국보,001140,2390.0,N/A,-755.0,N/A,N/A,2.41,992.0,N/A
0,동아쏘시오홀딩스,000640,104000.0,22.21,4682.0,N/A,N/A,0.85,122712.0,0.96
0,삼성바이오로직스,207940,762000.0,181.34,4202.0,231.0,3300.0,11.48,66373.0,N/A
0,선도전기,007610,2520.0,N/A,-286.0,N/A,N/A,0.58,4323.0,0.99
0,윌비스,008600,1295.0,N/A,-589.0,N/A,N/A,0.68,1908.0,N/A
0,제일연마,001560,6470.0,11.08,584.0,N/A,N/A,0.59,10956.0,3.4
0,태경산업,015890,4920.0,N/A,-139.0,N/A,N/A,0.61,8063.0,7.52
0,한미약품,128940,349500.0,88.24,3961.0,94.0,3734.0,5.65,61812.0,0.14
0,현대건설기계,267270,24000.0,N/A,-1717.0,19.0,1240.0,0.37,64204.0,N/A
0,호텔신라,008770,72000.0,65.1,1106.0,-15.0,-4828.0,3.26,22114.0,0.49
0,KB금융,105560,36050.0,4.71,7656.0,5.0,7443.0,0.37,98103.0,6.13
0,남성,004270,2710.0,N/A,-110.0,N/A,N/A,0.98,2758.0,0.92
0,덕양산업,024900,1535.0,N/A,-472.0,N/A,N/A,1.07,1441.0,N/A
0,미원홀딩스,107590,49400.0,6.93,7129.0,N/A,N/A,0.75,65790.0,0.81
0,세아홀딩스,058650,74200.0,7.41,10014.0,N/A,N/A,0.15,498748.0,3.03
0,엔씨소프트,036570,869000.0,39.79,21842.0,23.0,37233.0,6.9,125855.0,0.6
0,유한양행,000100,66500.0,32.27,2061.0,23.0,2902.0,2.4,27766.0,0.57
0,진원생명과학,011000,9090.0,N/A,-329.0,N/A,N/A,7.82,1162.0,N/A
0,TBH글로벌,084870,1720.0,N/A,-4847.0,N/A,N/A,0.43,3978.0,N/A
0,한미사이언스,008930,62200.0,131.22,474.0,N/A,N/A,6.3,9875.0,0.31
0,화승인더,006060,6930.0,7.47,928.0,N/A,N/A,0.78,8867.0,0.65
0,CJ제일제당,097950,419500.0,12.37,33901.0,10.0,43929.0,1.25,336603.0,0.83
0,SBS미디어홀딩스,101060,1875.0,N/A,-504.0,N/A,N/A,0.42,4417.0,N/A
0,녹십자홀딩스,005250,29850.0,N/A,-45.0,N/A,N/A,1.71,17460.0,1.09
0,동방아그로,007590,6780.0,21.46,316.0,N/A,N/A,0.56,12208.0,3.69
0,디아이,003160,4375.0,N/A,-34.0,N/A,N/A,0.96,4564.0,1.14
0,모토닉,009680,7610.0,20.24,376.0,N/A,N/A,0.41,18494.0,3.94
0,삼성카드,029780,28450.0,9.81,2900.0,9.0,3209.0,0.45,63382.0,5.62
0,센트랄모텍,308170,30150.0,38.55,782.0,N/A,N/A,2.59,11628.0,N/A
0,애경산업,018250,22500.0,18.32,1228.0,18.0,1265.0,1.79,12591.0,2.0
0,조비,001550,24900.0,1245.0,20.0,N/A,N/A,2.67,9342.0,N/A
0,태평양물산,007980,1725.0,1725.0,1.0,N/A,N/A,0.49,3524.0,1.74
0,한국석유,004090,96700.0,N/A,-11649.0,N/A,N/A,0.44,221944.0,1.55
0,한화에어로스페이스,012450,25000.0,9.96,2511.0,12.0,2163.0,0.51,48722.0,N/A
0,LF,093050,12300.0,7.13,1724.0,N/A,N/A,0.29,42158.0,4.07
0,NI스틸,008260,2200.0,10.68,206.0,N/A,N/A,0.57,3878.0,2.27
0,대교,019680,3995.0,N/A,-22.0,N/A,N/A,0.59,6782.0,4.26
0,DI동일,001530,75500.0,12.36,6110.0,N/A,N/A,0.28,273380.0,1.95
0,부산주공,005030,337.0,N/A,-577.0,N/A,N/A,0.54,624.0,N/A
0,삼익THK,004380,10250.0,74.28,138.0,N/A,N/A,1.14,8960.0,1.46
0,세아특수강,019440,10800.0,10.5,1029.0,N/A,N/A,0.29,36896.0,8.33
0,신세계,004170,206000.0,N/A,-14384.0,18.0,11443.0,0.53,386376.0,0.97
0,NPC,004250,3405.0,8.62,395.0,N/A,N/A,0.5,6782.0,2.94
0,이건산업,008250,7430.0,64.05,116.0,N/A,N/A,0.42,17512.0,2.69
0,참엔지니어링,009310,1340.0,N/A,-274.0,N/A,N/A,1.18,1131.0,N/A
0,하나제약,293480,25750.0,15.38,1674.0,N/A,N/A,1.85,13930.0,1.79
0,한진중공업홀딩스,003480,3520.0,3.19,1104.0,N/A,N/A,0.27,13224.0,N/A
0,CJ씨푸드,011150,3945.0,43.35,91.0,N/A,N/A,2.19,1799.0,N/A
0,LG,003550,86000.0,12.4,6936.0,9.0,9641.0,0.79,108653.0,2.56
0,계룡건설,013580,27800.0,3.59,7748.0,N/A,N/A,0.54,51939.0,2.16
0,대호에이엘,069460,2220.0,N/A,-186.0,N/A,N/A,2.59,856.0,N/A
0,미창석유,003650,58700.0,7.71,7615.0,N/A,N/A,0.35,167589.0,3.41
0,사조산업,007160,32450.0,N/A,-5016.0,N/A,N/A,0.41,80111.0,0.46
0,서흥,008490,58300.0,19.69,2961.0,16.0,3658.0,2.11,27582.0,0.69
0,신풍제지,002870,1525.0,6.25,244.0,N/A,N/A,0.71,2135.0,3.93
0,우성사료,006980,3415.0,8.6,397.0,N/A,N/A,0.52,6622.0,0.44
