,NAME,CODE,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
837,잇츠한불,226320,28500.0,N/A,-205.0,N/A,N/A,1.22,23304.0,0.35
838,현대코퍼레이션홀딩스,227840,10400.0,8.28,1256.0,N/A,N/A,0.5,20950.0,4.81
839,LS전선아시아,229640,6730.0,13.12,513.0,N/A,N/A,1.43,4702.0,2.67
840,JW생명과학,234080,20750.0,14.28,1453.0,N/A,N/A,2.7,7682.0,2.41
841,두산밥캣,241560,26650.0,11.26,2366.0,14.0,1844.0,0.65,41019.0,4.5
842,화승엔터프라이즈,241590,10950.0,13.26,826.0,14.0,774.0,1.34,8176.0,0.41
843,샘표식품,248170,50100.0,7.43,6741.0,N/A,N/A,1.38,36223.0,0.4
844,일동제약,249420,16550.0,N/A,-859.0,N/A,N/A,1.57,10558.0,0.0
845,넷마블,251270,139500.0,70.1,1990.0,46.0,3018.0,2.41,57764.0,N/A
846,크라운제과,264900,8660.0,5.87,1476.0,N/A,N/A,0.79,10923.0,2.89
847,크라운제과우,26490K,9520.0,6.45,1476.0,N/A,N/A,0.87,10923.0,2.65
848,현대중공업지주,267250,234000.0,N/A,-7856.0,-21.0,-11215.0,0.45,521122.0,7.91
849,현대일렉트릭,267260,12450.0,N/A,-8384.0,27.0,459.0,0.64,19597.0,N/A
850,현대건설기계,267270,23550.0,N/A,-1717.0,19.0,1240.0,0.37,64204.0,N/A
851,경동도시가스,267290,16750.0,4.74,3536.0,N/A,N/A,0.29,57956.0,5.22
852,아시아나IDT,267850,20950.0,N/A,-751.0,N/A,N/A,1.71,12241.0,2.39
853,미원에스씨,268280,80400.0,10.19,7887.0,N/A,N/A,1.64,49016.0,2.11
854,오리온,271560,137500.0,22.9,6004.0,19.0,7299.0,3.21,42788.0,0.44
855,제일약품,271980,57800.0,N/A,-484.0,N/A,N/A,4.89,11827.0,0.12
856,한화시스템,272210,9690.0,13.73,706.0,15.0,646.0,1.13,8574.0,3.2
857,진에어,272450,9660.0,N/A,-4475.0,-2.0,-4547.0,1.98,4885.0,N/A
858,삼양패키징,272550,18700.0,8.88,2107.0,N/A,N/A,0.96,19530.0,4.01
859,롯데제과,280360,109500.0,23.7,4620.0,N/A,N/A,0.59,184521.0,1.19
860,케이씨텍,281820,23400.0,11.94,1960.0,N/A,N/A,1.58,14788.0,0.86
861,BGF리테일,282330,125000.0,15.17,8241.0,15.0,8527.0,3.67,34021.0,2.16
862,동아타이어,282690,10550.0,6.32,1669.0,N/A,N/A,0.41,25655.0,4.74
863,쿠쿠홈시스,284740,39250.0,14.76,2659.0,N/A,N/A,1.97,19947.0,1.43
864,SK케미칼,285130,312000.0,134.02,2328.0,20.0,15739.0,5.69,54853.0,0.14
865,SK케미칼우,28513K,178000.0,76.46,2328.0,11.0,15739.0,3.25,54853.0,0.28
866,롯데정보통신,286940,36650.0,10.14,3613.0,14.0,2675.0,1.44,25476.0,1.91
867,하나제약,293480,26250.0,15.68,1674.0,N/A,N/A,1.88,13930.0,1.75
868,HDC현대산업개발,294870,23700.0,2.79,8502.0,4.0,5700.0,0.59,39950.0,1.85
869,효성화학,298000,107500.0,4.55,23632.0,14.0,7707.0,0.76,142339.0,4.65
870,효성티앤씨,298020,101500.0,4.93,20589.0,7.0,14709.0,0.87,117148.0,1.97
871,효성중공업,298040,44100.0,N/A,-5348.0,N/A,N/A,0.48,91524.0,N/A
872,효성첨단소재,298050,139500.0,N/A,-19449.0,-51.0,-2753.0,1.8,77646.0,N/A
873,에어부산,298690,3840.0,N/A,-2623.0,N/A,N/A,4.3,892.0,N/A
874,한일시멘트,300720,88800.0,8.63,10286.0,8.0,11204.0,0.42,210892.0,5.29
875,세아제강,306200,67700.0,8.39,8068.0,N/A,N/A,0.33,205513.0,2.95
876,현대오토에버,307950,41150.0,15.52,2652.0,N/A,N/A,1.71,24039.0,1.73
877,센트랄모텍,308170,28800.0,36.83,782.0,N/A,N/A,2.48,11628.0,N/A
878,우리금융지주,316140,8660.0,3.34,2589.0,4.0,2031.0,0.29,30216.0,8.08
879,자이에스앤디,317400,8160.0,12.11,674.0,11.0,738.0,1.51,5409.0,1.23
880,현대에너지솔루션,322000,34350.0,12.32,2788.0,N/A,N/A,1.2,28650.0,N/A
881,SK바이오팜,326030,180000.0,N/A,-1100.0,N/A,N/A,N/A,-1188.0,N/A
882,두산퓨얼셀,336260,44100.0,67.23,656.0,177.0,249.0,19.39,2274.0,N/A
883,두산퓨얼셀1우,33626K,13200.0,20.12,656.0,53.0,249.0,5.8,2274.0,N/A
884,두산퓨얼셀2우B,33626L,22200.0,33.84,656.0,89.0,249.0,9.76,2274.0,N/A
885,두산솔루스,336370,40200.0,89.14,451.0,53.0,752.0,10.4,3865.0,N/A
886,두산솔루스1우,33637K,18500.0,41.02,451.0,25.0,752.0,4.79,3865.0,N/A
887,두산솔루스2우B,33637L,37450.0,83.04,451.0,50.0,752.0,9.69,3865.0,N/A
888,케이씨씨글라스,344820,31350.0,N/A,N/A,N/A,N/A,0.29,108824.0,N/A
889,대덕전자,353200,12950.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
890,대덕전자1우,35320K,7850.0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
891,엘브이엠씨홀딩스,900140,3740.0,N/A,-996.0,N/A,N/A,0.58,6502.0,N/A
