CODE,NAME,SECT.,STOCK NO.,CAPT.
4870,티웨이홀딩스,"시멘트, 석회, 플라스터 및 그 제품 제조업","76,680,855","38,340,427,500"
4890,동일산업,1차 철강 제조업,"2,425,215","12,126,075,000"
4910,조광페인트,기타 화학제품 제조업,"12,800,000","6,400,000,000"
4920,씨아이테크,그외 기타 제품 제조업,"24,070,772","12,035,386,000"
4960,한신공영,건물 건설업,"11,570,702","57,853,510,000"
4970,신라교역,어로 어업,"16,000,000","8,000,000,000"
4980,성신양회,"시멘트, 석회, 플라스터 및 그 제품 제조업","24,516,073","128,508,590,000"
5010,휴스틸,1차 철강 제조업,"7,621,668","38,108,340,000"
5030,부산주공,자동차 신품 부품 제조업,"42,397,604","21,198,802,000"
5070,코스모신소재,기타 화학제품 제조업,"29,247,965","29,247,965,000"
5090,삼광글라스,유리 및 유리제품 제조업,"4,854,418","24,272,090,000"
5110,한창,기계장비 및 관련 물품 도매업,"34,790,269","17,395,134,500"
5180,빙그레,낙농제품 및 식용빙과류 제조업,"9,851,241","49,756,205,000"
5190,동성화학,기초 화학물질 제조업,"5,335,564","5,531,244,000"
5250,녹십자홀딩스,회사 본부 및 경영 컨설팅 서비스업,"47,028,210","25,744,900,000"
5300,롯데칠성음료,비알코올음료 및 얼음 제조업,"7,993,460","4,384,385,000"
5320,국동,생활용품 도매업,"38,026,114","19,013,057,000"
5360,모나미,생활용품 도매업,"18,897,307","18,897,307,000"
5380,현대자동차,자동차용 엔진 및 자동차 제조업,"213,668,187","1,488,993,125,000"
5390,신성통상,기타 전문 도매업,"143,708,390","71,854,195,000"
5420,코스모화학,기타 화학제품 제조업,"26,110,825","26,110,825,000"
5430,한국공항,기타 운송관련 서비스업,"3,166,355","15,831,775,000"
5440,현대그린푸드,종합 소매업,"97,704,482","48,852,241,000"
5490,포스코,1차 철강 제조업,"87,186,835","482,403,125,000"
5500,삼진제약,의약품 제조업,"13,900,000","13,900,000,000"
5610,SPC삼립,기타 식품 제조업,"8,629,009","43,145,045,000"
5680,삼영전자공업,전자부품 제조업,"20,000,000","10,000,000,000"
5690,파미셀,기초 의약물질 및 생물학적 제제 제조업,"59,958,950","29,979,475,000"
5720,넥센,고무제품 제조업,"53,543,977","28,572,288,500"
5750,대림비앤코,"내화, 비내화 요업제품 제조업","16,672,240","16,672,240,000"
5800,신영와코루,봉제의복 제조업,"900,000","4,500,000,000"
5820,원림,직물직조 및 직물제품 제조업,"2,200,000","11,000,000,000"
5850,에스엘,자동차 신품 부품 제조업,"48,203,277","24,101,638,500"
