,NAME,CODE,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
0,미래에셋벤처투자,100790,3965.0,21.67,183.0,N/A,N/A,1.25,3174.0,3.11
0,삼강엠앤티,100090,10200.0,N/A,-314.0,N/A,N/A,2.03,5013.0,N/A
0,삼화네트웍스,046390,1410.0,33.57,42.0,N/A,N/A,1.59,886.0,N/A
0,세명전기,017510,3960.0,28.29,140.0,N/A,N/A,0.87,4554.0,2.02
0,신라젠,215600,12100.0,N/A,-1526.0,N/A,N/A,17.41,695.0,N/A
0,아이에이,038880,443.0,443.0,1.0,N/A,N/A,1.77,250.0,N/A
0,에스제이케이,080440,498.0,N/A,-936.0,N/A,N/A,0.6,831.0,N/A
0,엑스큐어,070300,5480.0,N/A,-17.0,N/A,N/A,1.74,3156.0,N/A
0,오션브릿지,241790,17400.0,16.63,1046.0,N/A,N/A,2.67,6516.0,1.55
0,유안타제6호스팩,340360,1995.0,N/A,-29.0,N/A,N/A,1.03,1941.0,N/A
0,이엠앤아이,083470,1585.0,0.37,4262.0,N/A,N/A,6.86,231.0,N/A
0,잉크테크,049550,3210.0,N/A,-191.0,N/A,N/A,1.43,2237.0,N/A
0,지니뮤직,043610,3585.0,31.45,114.0,N/A,N/A,1.34,2674.0,N/A
0,케이엔더블유,105330,7000.0,N/A,-993.0,N/A,N/A,1.43,4888.0,N/A
0,코위버,056360,9690.0,4.71,2057.0,N/A,N/A,0.78,12435.0,2.06
0,테스나,131970,88700.0,30.06,2951.0,N/A,N/A,4.25,20887.0,0.22
0,펌텍코리아,251970,15550.0,8.85,1758.0,N/A,N/A,1.15,13520.0,2.12
0,한국아트라스비엑스,023890,45450.0,8.5,5345.0,N/A,N/A,0.46,99656.0,0.88
0,한탑,002680,1825.0,N/A,-529.0,N/A,N/A,1.16,1579.0,N/A
0,JTC,950170,4040.0,N/A,-868.0,N/A,N/A,0.61,6665.0,0.87
0,SGA솔루션즈,184230,841.0,N/A,-686.0,N/A,N/A,1.89,445.0,N/A
0,노터스,278650,26900.0,45.06,597.0,N/A,N/A,4.56,5898.0,N/A
0,덕신하우징,090410,1400.0,56.0,25.0,N/A,N/A,0.75,1855.0,N/A
0,디지털대성,068930,6120.0,9.95,615.0,N/A,N/A,1.53,4012.0,4.9
0,마크로밀엠브레인,169330,9070.0,N/A,N/A,N/A,N/A,N/A,N/A,1.54
0,비디아이,148140,5830.0,N/A,-39.0,N/A,N/A,2.31,2524.0,N/A
0,세운메디칼,100700,4030.0,18.32,220.0,N/A,N/A,1.8,2241.0,1.24
0,스맥,099440,1845.0,N/A,-504.0,N/A,N/A,0.48,3825.0,N/A
0,쎄미시스코,136510,8960.0,N/A,-991.0,N/A,N/A,1.93,4637.0,N/A
0,아프리카TV,067160,63200.0,22.68,2787.0,21.0,2968.0,5.93,10654.0,0.87
0,에스퓨얼셀,288620,42900.0,150.0,286.0,N/A,N/A,7.3,5878.0,0.12
0,엑셈,205100,3900.0,17.57,222.0,N/A,N/A,1.9,2049.0,N/A
0,오스테오닉,226400,3405.0,39.59,86.0,N/A,N/A,1.49,2278.0,N/A
0,유비벨록스,089850,8490.0,9.42,901.0,N/A,N/A,0.74,11409.0,N/A
0,이미지스,115610,2985.0,N/A,-1064.0,N/A,N/A,2.04,1464.0,N/A
0,지티지웰니스,219750,5030.0,N/A,-667.0,N/A,N/A,4.95,1017.0,N/A
0,코나아이,052400,13050.0,N/A,-458.0,N/A,N/A,2.23,5848.0,N/A
0,탑엔지니어링,065130,10000.0,10.4,962.0,N/A,N/A,0.77,13019.0,1.0
0,파워넷,037030,4570.0,10.43,438.0,N/A,N/A,1.03,4458.0,N/A
0,한국제7호스팩,291210,2070.0,172.5,12.0,N/A,N/A,1.12,1846.0,N/A
0,NHN벅스,104200,4670.0,19.06,245.0,N/A,N/A,0.89,5249.0,N/A
0,경남스틸,039240,1720.0,9.77,176.0,N/A,N/A,0.5,3445.0,5.23
0,넥스트BT,065170,2105.0,N/A,-154.0,N/A,N/A,2.61,807.0,N/A
0,덕산하이메탈,077360,8320.0,9.04,920.0,N/A,N/A,0.78,10727.0,N/A
0,라이온켐텍,171120,7830.0,10.79,726.0,N/A,N/A,1.31,5999.0,1.86
0,바이오스마트,038460,11200.0,10.75,1042.0,N/A,N/A,2.09,5359.0,0.56
0,선데이토즈,123420,26750.0,31.88,839.0,10.0,2743.0,1.68,15955.0,N/A
0,신원종합개발,017000,4720.0,3.79,1247.0,N/A,N/A,0.52,9109.0,N/A
0,아이엘사이언스,307180,3120.0,N/A,-140.0,N/A,N/A,6.37,490.0,N/A
0,에스모 머티리얼즈,087730,2720.0,N/A,-19242.0,N/A,N/A,8.24,330.0,N/A
0,에이치엘사이언스,239610,55400.0,14.0,3958.0,N/A,N/A,3.33,16628.0,0.72
0,엔에스엔,031860,1140.0,N/A,-279.0,N/A,N/A,1.16,982.0,N/A
0,옵티팜,153710,24850.0,N/A,-58.0,N/A,N/A,10.13,2453.0,N/A
0,유라테크,048430,12350.0,30.12,410.0,N/A,N/A,1.31,9443.0,0.81
0,인터플렉스,051370,14400.0,N/A,-1293.0,N/A,N/A,1.57,9173.0,N/A
0,조광ILI,044060,6160.0,41.62,148.0,N/A,N/A,1.09,5676.0,N/A
0,코맥스,036690,5870.0,24.56,239.0,N/A,N/A,1.29,4538.0,0.83
0,태웅,044490,13250.0,N/A,-1527.0,N/A,N/A,0.47,28391.0,N/A
0,퓨쳐켐,220100,10200.0,N/A,-935.0,N/A,N/A,9.63,1059.0,N/A
0,한국테크놀로지,053590,991.0,N/A,-336.0,N/A,N/A,3.87,256.0,N/A
0,IBKS제11호스팩,335890,2525.0,N/A,-29.0,N/A,N/A,1.31,1932.0,N/A
0,OQP,078590,5220.0,N/A,-163.0,N/A,N/A,3.9,1337.0,N/A
0,YBM넷,057030,7150.0,216.67,33.0,N/A,N/A,2.81,2544.0,N/A
0,구영테크,053270,1570.0,10.75,146.0,N/A,N/A,0.53,2982.0,1.91
0,네오크레마,311390,7590.0,46.28,164.0,N/A,N/A,1.47,5174.0,N/A
0,대한과학,131220,5810.0,35.86,162.0,N/A,N/A,1.56,3721.0,1.03
0,라온피플,300120,25800.0,26.17,986.0,N/A,N/A,4.42,5841.0,0.58
0,메가엠디,133750,3235.0,77.02,42.0,N/A,N/A,1.24,2608.0,1.55
