CODE,NAME,SECT.,STOCK NO.,CAPT.,PRICE,PER,EPS,E_PER,E_EPS,PBR,BPS,ITR
001770,신화실업,1차 철강 제조업,"1,214,878","6,074,390,000",19800.0,36.8,538.0,N/A,N/A,0.71,27929.0,0.5
001780,알루코,1차 비철금속 제조업,"74,714,941","37,357,470,500",2065.0,N/A,-76.0,N/A,N/A,0.73,2821.0,N/A
001790,대한제당,"곡물가공품, 전분 및 전분제품 제조업","8,969,658","24,044,835,000",20100.0,11.63,1729.0,N/A,N/A,0.4,49852.0,3.36
001820,삼화콘덴서공업,전자부품 제조업,"10,395,000","10,395,000,000",64800.0,29.59,2190.0,N/A,N/A,4.3,15085.0,0.39
001880,대림건설,건물 건설업,"22,053,284","110,266,420,000",28900.0,3.69,7832.0,N/A,N/A,0.87,33299.0,1.38
001940,KISCO홀딩스,1차 철강 제조업,"18,476,380","18,476,380,000",11100.0,4.86,2282.0,N/A,N/A,0.21,53729.0,2.52
002030,아세아,회사 본부 및 경영 컨설팅 서비스업,"2,191,024","10,955,120,000",74800.0,3.41,21952.0,N/A,N/A,0.18,407624.0,2.34
002070,비비안,봉제의복 제조업,"68,679,450","6,867,945,000",991.0,N/A,-56.0,N/A,N/A,0.65,1528.0,N/A
002100,경농,"비료, 농약 및 살균, 살충제 제조업","21,691,750","10,845,875,000",15900.0,55.02,289.0,N/A,N/A,1.43,11091.0,1.38
002140,고려산업,"곡물가공품, 전분 및 전분제품 제조업","24,939,425","24,939,425,000",3815.0,17.66,216.0,N/A,N/A,0.99,3861.0,0.79
002150,도화엔지니어링,"건축기술, 엔지니어링 및 관련 기술 서비스업","33,720,000","16,860,000,000",8020.0,12.02,667.0,N/A,N/A,1.07,7515.0,3.12
002170,삼양통상,"가죽, 가방 및 유사제품 제조업","3,000,000","15,000,000,000",60000.0,4.51,13312.0,N/A,N/A,0.52,115503.0,1.67
002200,한국수출포장공업,"골판지, 종이 상자 및 종이용기 제조업","4,000,000","20,000,000,000",18750.0,3.93,4777.0,N/A,N/A,0.3,62260.0,3.2
002210,동성제약,의약품 제조업,"26,100,970","26,100,970,000",13250.0,N/A,-461.0,N/A,N/A,4.84,2736.0,N/A
