,CAPT.,CODE,NAME,SECT.,STOCK NO.
1348,"436,000,000",317320,한화에스비아이스팩,금융 지원 서비스업,"4,360,000"
1357,"862,000,000",319400,엔에이치스팩14호,금융 지원 서비스업,"8,620,000"
1360,"349,000,000",321260,유진스팩4호,금융 지원 서비스업,"3,490,000"
1364,"455,000,000",322780,DB금융스팩7호,금융 지원 서비스업,"4,550,000"
1365,"320,000,000",323210,이베스트이안스팩1호,금융 지원 서비스업,"3,200,000"
1366,"431,000,000",323230,신한제5호스팩,금융 지원 서비스업,"4,310,000"
1367,"350,500,000",323280,신영스팩5호,금융 지원 서비스업,"3,505,000"
1368,"782,200,000",323940,케이비제18호스팩,금융 지원 서비스업,"7,822,000"
1370,"648,200,000",328380,미래에셋대우스팩3호,금융 지원 서비스업,"6,482,000"
1371,"385,000,000",329560,상상인이안제2호스팩,금융 지원 서비스업,"3,850,000"
1373,"430,100,000",330990,케이비제19호스팩,금융 지원 서비스업,"4,301,000"
1374,"401,000,000",331380,유진스팩5호,금융 지원 서비스업,"4,010,000"
1375,"388,000,000",331520,교보9호스팩,금융 지원 서비스업,"3,880,000"
1376,"520,500,000",332290,대신밸런스제7호스팩,금융 지원 서비스업,"5,205,000"
1378,"441,000,000",332710,하나금융14호스팩,금융 지원 서비스업,"4,410,000"
1379,"501,000,000",333050,신한제6호스팩,금융 지원 서비스업,"5,010,000"
1380,"439,000,000",333430,미래에셋대우스팩4호,금융 지원 서비스업,"4,390,000"
1381,"312,000,000",335870,IBKS제12호스팩,금융 지원 서비스업,"3,120,000"
1382,"479,000,000",335890,IBKS제11호스팩,금융 지원 서비스업,"4,790,000"
1383,"593,000,000",336060,유안타제5호스팩,금융 지원 서비스업,"5,930,000"
1384,"561,000,000",336570,대신밸런스제8호스팩,금융 지원 서비스업,"5,610,000"
1385,"431,000,000",337450,SK5호스팩,금융 지원 서비스업,"4,310,000"
1386,"654,000,000",339950,엔에이치스팩15,금융 지원 서비스업,"6,540,000"
1387,"502,000,000",340120,하이제5호스팩,금융 지원 서비스업,"5,020,000"
1388,"571,000,000",340350,SK6호스팩,금융 지원 서비스업,"5,710,000"
1389,"684,500,000",340360,유안타제6호스팩,금융 지원 서비스업,"6,845,000"
1390,"471,000,000",340440,한화플러스제1호스팩,금융 지원 서비스업,"4,710,000"
1391,"471,000,000",341160,하나금융15호스팩,금융 지원 서비스업,"4,710,000"
1392,"650,100,000",342550,케이비제20호스팩,금융 지원 서비스업,"6,501,000"
1393,"401,000,000",343510,하나금융16호스팩,금융 지원 서비스업,"4,010,000"
1394,"430,500,000",344050,신영스팩6호,금융 지원 서비스업,"4,305,000"
1395,"300,900,000",347140,케이프이에스제4호,기타 금융업,"3,009,000"
1397,"362,000,000",349720,이베스트스팩5호,금융 지원 서비스업,"3,620,000"
1398,"433,000,000",351320,IBKS제14호스팩,기타 금융업,"4,330,000"
1399,"517,000,000",351340,IBKS제13호스팩,금융 지원 서비스업,"5,170,000"
1400,"431,000,000",353070,에이치엠씨제4호스팩,금융 지원 서비스업,"4,310,000"
1401,"431,000,000",353190,엔에이치스팩16호,금융 지원 서비스업,"4,310,000"
1404,"26,871,984",900070,글로벌에스엠,기타 금융업,"53,743,968"
1405,"641,928,600",900080,에스앤씨엔진그룹,기타 금융업,"123,759,593"
1407,"528,714,165",900110,이스트아시아홀딩스,기타 금융업,"109,000,686"
1408,"5,520,223",900120,씨케이에이치,기타 금융업,"110,404,457"
1409,"33,891,926",900250,크리스탈신소재,기타 금융업,"67,783,852"
1410,"43,617,265,221",900260,로스웰,기타 금융업,"141,781,250"
1411,"416,446,347",900270,헝셩그룹,기타 금융업,"80,000,000"
1412,"31,756,000",900280,골든센츄리,기타 금융업,"158,780,000"
1413,"770,089,223",900290,GRT,기타 금융업,"67,375,000"
1414,"346,362,612",900300,오가닉티코스메틱,기타 금융업,"56,925,000"
1415,"336,160,634",900310,컬러레이,기타 금융업,"54,000,000"
1416,"293,632,368",900340,윙입푸드,기타 금융업,"47,973,428"
